이름,한자명,영문명칭,음/양력,생년월일,정당명,선거구,재선,당선,성별,전화번호,사무실 호실,이메일,홈페이지,보좌관,비서관,비서
황보승희,皇甫承希,HWANGBO SEUNGHEE,음,1976-08-05,국민의힘,부산 중구영도구,초선,제21대,여,02-784-6931 / 051-412-0415,의원회관 322호,0415hbsh@naver.com,,"서덕교, 이준우","고범욱, 홍영민","정인호, 홍주형, 윤성환, 박우진"
홍문표,洪文杓,HONG MOONPYO,음,1947-10-05,국민의힘,충남 홍성군예산군,4선,"제17대, 제19대, 제20대, 제21대",남,02-784-9587,의원회관 336호,mphonglove@hanmail.net,,"구성완, 최재구",신충식,"안진호, 손병관, 김슬기, 구민희, 김현우"
안민석,安敏錫,AN MINSUK,양,1966-08-13,더불어민주당,경기 오산시,5선,"제17대, 제18대, 제19대, 제20대, 제21대",남,02-784-3877~9,의원회관 920호,amsams0606@gmail.com,https://blog.naver.com/ams0506,"양승신, 조용호","김병국, 이영기","조호제, 정윤영, 안은하, 전예슬, 안신영"
권명호,權明浩,KWON MYUNGHO,양,1961-01-10,국민의힘,울산 동구,초선,제21대,남,"02-784-5705, 지역 052-201-7676",의원회관 618호,kmh330575@naver.com,http://blog.naver.com/kmh330575,"고광철, 배상원","맹일훈, 원종용","신승구, 차호, 신옥형, 이재웅, 박초희"
양향자,梁香子,YANG HYANGJA,음,1967-04-04,더불어민주당,광주 서구을,초선,제21대,여,02-784-8971,의원회관 626호,bestwest1967@gmail.com,http://blog.naver.com/bestwest1967,"송경민, 윤미혜, 조근희","김길원, 김모영","이동찬, 박대훈, 이경은, 김수연, 김알이"
이양수,李亮壽,LEE YANGSOO,음,1967-08-15,국민의힘,강원 속초시인제군고성군양양군,재선,"제20대, 제21대",남,02-784-8150,의원회관 938호,2yangs6288@naver.com,,"길재철, 장순칠","장종락, 최정식","송연정, 이화은, 유용재, 박성훈, 이주연"
이명수,李明洙,LEE MYOUNGSU,음,1955-02-11,국민의힘,충남 아산시갑,4선,"제18대, 제19대, 제20대, 제21대",남,02-784-5711,의원회관 606호,mslee3@assembly.go.kr,http://www.mslee.co.kr/,"김남규, 김태국","이두현, 이상근","이병재, 김민정, 박혁진, 신우정, 이정인"
김병욱,金炳旭,KIM BYONGWOOK,음,1977-04-30,무소속,경북 포항시남구울릉군,초선,제21대,남,02-784-6430,의원회관 320호,kimbyongwook0415@gmail.com,https://blog.naver.com/ilungkim,"남호균, 백관백","김정기, 손희권","이동찬, 오세웅, 박민지, 장현미, 이나현"
김정호,金禎鎬,KIM JUNGHO,음,1960-06-18,더불어민주당,경남 김해시을,재선,"제20대, 제21대",남,02-784-5871,의원회관 609호,kimjungho3359@daum.net ,http://www.kimjungho3359.com,"김명진, 손낙구","정상운, 하광식","박가영, 염승화, 장인정, 허수정, 김세련"
서삼석,徐參錫,SEO SAMSEOK,음,1959-08-03,더불어민주당,전남 영암군무안군신안군,재선,"제20대, 제21대",남,02-784-9501,의원회관 1022호,3s0011@naver.com,http://3s0011.com,"정일구, 황준하","조경숙, 최원석","최은석, 고성석, 임정섭, 장찬옥, 김두성"
조명희,曺明姬,JO MYUNGHEE,음,1955-09-14,국민의힘,비례대표,초선,제21대,여,02-784-3255,의원회관 843호,843mhjo@gmail.com,https://blog.naver.com/mhjo7312,"채영권, 황찬일","박선연, 윤다솜","조태희, 김은재, 진정한, 허윤주, 정어윈"
윤상현,尹相現,YOON SANGHYUN,음,1962-12-01,무소속,인천 동구미추홀구을,4선,"제18대, 제19대, 제20대, 제21대",남,02-784-4481,의원회관 529호,shyoon@na.go.kr,,"김종현, 이지완","김재경, 안우철","민현원, 정윤창, 변시후, 박지현, 김민영"
김상희,金相姬,KIM SANGHEE,음,1954-05-18,더불어민주당,경기 부천시병,4선,"제18대, 제19대, 제20대, 제21대",여,02-784-4173,의원회관 808호,shk@assembly.go.kr,http://blog.naver.com/shk407,"유재은, 임채원","문영주, 이세경","이범섭, 양지현, 김소연, 박수정, 김현량"
장철민,張喆敏,CHULMIN JANG,음,1983-05-16,더불어민주당,대전 동구,초선,제21대,남,02-784-2187,의원회관 1009호,jcm5440@gmail.com,http://blog.naver.com/jcm5440,"정근모, 황두영","이지혜, 조영호","정용, 김연화, 이창호, 권도경, 이종서"
이용우,李龍雨,LEE YONGWOO,양,1964-02-01,더불어민주당,경기 고양시정,초선,제21대,남,02-784-8780,의원회관 313호,minjoolee2020@gmail.com,http://blog.naver.com/ywlee9501,"김성영, 이승현","박광채, 전상규","한진, 최성원, 조재성, 유신욱, 강소라"
이종성,李鍾成,LEE JONGSEONG,음,1970-02-17,국민의힘,비례대표,초선,제21대,남,"02-784-2374, 02-6788-7066",의원회관 707호,217jongseong@naver.com,http://blog.naver.com/217jongseong,"박종현, 성종호","김종길, 송효근","이상호, 최희연, 임계영, 장서윤, 한창현"
김홍걸,金弘傑,KIM HONGGUL,음,1963-11-12,무소속,비례대표,초선,제21대,남,02-784-0615,의원회관 615호,2020kimhonggul@gmail.com,http://blog.naver.com/hgkm615,"김정호, 이현주","김용성, 이진경","이승은, 이승렬, 김오현, 권예린, 하유경"
유정주,兪訂炷,YOO JUNGJU,양,1975-12-13,더불어민주당,비례대표,초선,제21대,여,02-6788-6821,의원회관 905호,junshine905@naver.com,,"정재우, 천정길","박용진, 방문주","류채화, 김단희, 김용선, 박수희, 남현욱"
조태용,趙太庸,CHO TAEYONG,음,1956-08-29,국민의힘,비례대표,초선,제21대,남,,의원회관 709호,,,"박정현, 장영일","안정민, 장혁준","한정훈, 주보라, 조하나, 오경섭, 조주령"
윤희숙,尹喜淑,YUN HEESUK,음,1970-02-07,국민의힘,서울 서초구갑,초선,제21대,여,02-784-3291,의원회관 911호,,,"권재필, 권태근","이수철, 이애선","김태우, 이주은, 우정현, 정미연"
이광재,李光宰,LEE KWANGJAE,양,1965-02-28,더불어민주당,강원 원주시갑,3선,"제17대, 제18대, 제21대",남,,의원회관 643호,,,"김민욱, 서지연","고명균, 김건우","윤무영, 임현우, 나유경, 전소희, 김가미"
김미애,金美愛,KIM MIAE,음,1969-10-06,국민의힘,부산 해운대구을,초선,제21대,여,02-784-5680,의원회관 1017호,015miae@naver.com,http://blog.naver.com/015law,"김태효, 엄보섭","신영훈, 한정훈","김경민, 김일우, 강민경, 이주영, 이명순"
한무경,韓茂景,HAN MOOKYUNG,음,1958-05-20,국민의힘,비례대표,초선,제21대,여,02-784-2844,의원회관 822호,hanmk2021@naver.com,,"이철호, 정태준","김재협, 이명용","권현정, 김준형, 권수진, 허정선, 최혜선"
이수진,李壽珍,LEE SOOJIN,음,1969-05-14,더불어민주당,비례대표,초선,제21대,여,02-784-6351,의원회관 545호,leesj545@hanmail.net,https://blog.naver.com/sjl2778,"한동균, 홍은광","김숙진, 변철환","김유나, 임동신, 김민정, 양송이"
권성동,權性東,KWEON SEONGDONG,음,1960-04-29,국민의힘,강원 강릉시,4선,"제18대, 제19대, 제20대, 제21대",남,02-784-3396~8 / 788-2469,의원회관 820호,ksdd22@naver.com,http://www.ksdd.net,"권통일, 최영철","김대식, 김한규","김린, 신윤정, 김근희, 김민식"
홍영표,洪永杓,HONG YOUNGPYO,양,1957-04-30,더불어민주당,인천 부평구을,4선,"제18대, 제19대, 제20대, 제21대",남,02-784-3143,의원회관 1004호,youngvote@hanmail.net,,"김기홍, 박성진","신성아, 임소현","김유경, 오승연, 변윤섭, 김영주, 이미현"
강득구,姜得求,KANG DEUKGU,음,1963-05-27,더불어민주당,경기 안양시만안구,초선,제21대,남,02-784-2747~9,의원회관 440호,mainsail440@daum.net,,"서용선, 안홍식","최경순, 홍미하","은수진, 최기섭, 조나연, 오세령, 배은경"
김기현,金起炫,KIM GIHYEON,음,1959-02-21,국민의힘,울산 남구을,4선,"제17대, 제18대, 제19대, 제21대",남,02-784-3874,의원회관 550호,together.eut@gmail.com,,"김용환, 최연우","양성은, 이광우","권영경, 이상찬, 김차영, 류보라, 박유진"
양금희,梁琴喜,YANG KUMHEE,양,1961-11-15,국민의힘,대구 북구갑,초선,제21대,여,02-784-7451~7453,의원회관 553호,ygoldh8999@naver.com,https://blog.naver.com/ygoldh8999,"박종욱, 이현진","김홍석, 이은정","유도영, 김균서, 양지, 권기환, 백승미"
김용판,金用判,KIM YONGPAN,양,1958-01-05,국민의힘,대구 달서구병,초선,제21대,남,02-784-9480,의원회관 633호,jebek8969@gmail.com,https://blog.naver.com/kyp8969,"김도훈, 김태하","박수철, 이기주","박병규, 위현서, 권혜진, 김정환, 최유리"
배진교,裵晋敎,BAE JINGYO,음,1968-08-26,정의당,비례대표,초선,제21대,남,02-784-3080~2,의원회관 517호,bjg517@naver.com,,"안창현, 최승원","공석환, 이연주","장용훈, 이인자, 김은승, 엄예은, 김경옥"
최연숙,崔姸淑,CHOI YOUNSUK,음,1960-07-25,국민의당,비례대표,초선,제21대,여,02-784-7810~2,의원회관 915호,cysook915@naver.com,https://blog.naver.com/cysook915,"김경순, 한민경","나종윤, 정진태","송성훈, 이은연, 김진웅, 김정윤"
김민기,金敏基,KIM MINKI,음,1966-04-28,더불어민주당,경기 용인시을,3선,"제19대, 제20대, 제21대",남,02-784-1930,의원회관 945호,kimminki@assembly.go.kr,http://blog.naver.com/kminki84,"손주연, 허준영","김완수, 박인철","황병천, 서명희, 성혜련, 이봉원, 이종혁"
윤재옥,尹在玉,YUN JAEOK,음,1961-09-10,국민의힘,대구 달서구을,3선,"제19대, 제20대, 제21대",남,02-784-4871,의원회관 710호,7882579@naver.com,,"노병근, 임준홍","권보선, 이고운","김미혜, 이주원, 이상일, 김도영, 김예인, 정의찬"
김태흠,金泰欽,KIM TAEHEUM,양,1963-01-11,국민의힘,충남 보령시서천군,3선,"제19대, 제20대, 제21대",남,02-784-4710,의원회관 407호,ktheum@hanmail.net,http://blog.naver.com/ktheum,"조중연, 허정환","신영호, 한상필","한만형, 정민규, 서진원, 한주희, 박새별"
김도읍,金度邑,KIM DOEUP,음,1964-07-06,국민의힘,부산 북구강서구을,3선,"제19대, 제20대, 제21대",남,02-784-1740,의원회관 452호,ldek3525@naver.com,http://www.김도읍.com,"이종환, 최성준","김태명, 이재경","최승한, 위서율, 김민지, 김지연, 차유진"
김원이,金元二,KIM WONI,음,1968-11-11,더불어민주당,전남 목포시,초선,제21대,남,02-784-5080~2,의원회관 923호,kimwoni923@gmail.com,http://blog.naver.com/kimwoni8182,"김동현, 오성철",조은정,"김지수, 유민석, 신수정, 백은우, 이경화"
김의겸,金宜謙,KIMEUIKYEOM,음,1963-05-22,열린민주당,비례대표,초선,제21대,남,02-784-9580~9582,의원회관 406호,kek9580@gmail.com,,"박진형, 최승섭","김봄이래, 김재훈","최재식, 조현준, 이시연, 정은솔, 박혜정"
박완주,朴完柱,PARK WANJOO,음,1966-11-10,더불어민주당,충남 천안시을,3선,"제19대, 제20대, 제21대",남,02-784-7560,의원회관 702호,lasco21@hanmail.net,http://blog.naver.com/withwanju/,"김강중, 김경희","구형서, 정지혜","황윤경, 최혜원, 남지혜, 최승연, 하우준"
이채익,李埰益,LEE CHEIK,음,1955-05-27,국민의힘,울산 남구갑,3선,"제19대, 제20대, 제21대",남,02-784-8011~3,의원회관 844호,lci8572@naver.com,http://www.이채익.com,"박성해, 박용기","김기석, 이영걸","김진수, 황진라, 김만성, 정해영, 이선호"
강은미,姜恩美,KANG EUNMI,음,1970-09-06,정의당,비례대표,초선,제21대,여,02-784-4162,의원회관 514호,em7086@gmail.com,blog.naver.com/kangem2024,"장화동, 정송도","김용재, 문정은","진은주, 임미애, 신미희, 문다빈, 이승준"
이학영,李學永,LEE HACKYOUNG,음,1952-04-16,더불어민주당,경기 군포시,3선,"제19대, 제20대, 제21대",남,02-784-8051,의원회관 331호,youngcamp1@gmail.com,http://blog.naver.com/leehackyoung,"성기황, 전재현","임소연, 허남진","박하늘, 한보란, 이현재, 윤혜영"
홍익표,洪翼杓,HONG IHKPYO,음,1967-11-20,더불어민주당,서울 중구성동구갑,3선,"제19대, 제20대, 제21대",남,02-784-6887,의원회관 839호,peace@peacehong.net,http://www.peacehong.net,"권오재, 허정무","양혜진, 원인재","신지희, 전해정, 김옥미, 최우경, 이원종"
조경태,趙慶泰,CHO KYOUNGTAE,음,1968-01-10,국민의힘,부산 사하구을,5선,"제17대, 제18대, 제19대, 제20대, 제21대",남,02-784-6380,의원회관 636호,yeskt@hanmail.net,,"성창용, 이동영","오두환, 조용택","배준성, 최호림, 박수혜, 유현호, 이지연, 정은수"
설훈,薛勳,SUL HOON,음,1953-04-23,더불어민주당,경기 부천시을,5선,"제15대, 제16대, 제19대, 제20대, 제21대",남,02-784-8570,의원회관 948호,sulhoon21@naver.com,http://www.sulhoon.com,"백황선, 이재영","김혜민, 정웅재","김대주, 박미경, 임정민, 권준홍, 한지현"
한정애,韓貞愛,HAN JEOUNGAE,양,1965-01-08,더불어민주당,서울 강서구병,3선,"제19대, 제20대, 제21대",여,02-784-3051,의원회관 639호,jeoung@gmail.com,http://www.한정애.com,"김영수, 조선옥","김영철, 김장용","강희정, 김지은, 김가은, 이은옥"
진선미,陳善美,JIN SUNMEE,음,1967-05-14,더불어민주당,서울 강동구갑,3선,"제19대, 제20대, 제21대",여,02-784-9591,의원회관 1002호,smjingogo@gmail.com,http://blog.naver.com/smjingogo,"박영선, 장동혁","배은혜, 신건호","송지은, 박준모, 박나리, 김진이, 장소영"
인재근,印在謹,IN JAEKEUN,양,1953-11-11,더불어민주당,서울 도봉구갑,3선,"제19대, 제20대, 제21대",여,02-784-8091,의원회관 806호,ijgalso@daum.net,http://www.ijk.or.kr,"임영진, 한성희","강경만, 성하림","박상근, 정지혁, 강준희, 김혜진, 이준배"
고영인,高永寅,KO YOUNGIN,음,1963-07-07,더불어민주당,경기 안산시단원구갑,초선,제21대,남,02-784-5490,의원회관 312호,goyoungin312@gmail.com,https://blog.naver.com/kyi4853,김재권,"김항기, 윤도희","조선식, 홍봉수, 서호, 박수철"
오기형,吳奇炯,OH GIHYOUNG,양,1966-11-25,더불어민주당,서울 도봉구을,초선,제21대,남,02-6788-6761,의원회관 628호,okhyung628@naver.com,http://blog.naver.com/okgihyoung,"김종석, 신동림","권태준, 홍성우","강나루, 이다영, 박대창, 유지원, 서문정"
김태년,金太年,KIM TAENYEON,음,1965-03-20,더불어민주당,경기 성남시수정구,4선,"제17대, 제19대, 제20대, 제21대",남,"02-784-4570, 031-751-4048",의원회관 504호,ktn0320@daum.net,http://www.ktn21.com,"박기일, 이창욱","강경훈, 안승태","배지은, 박은혜, 천지현, 고이화, 노주엽"
이원욱,李元旭,LEE WONWOOK,음,1963-03-20,더불어민주당,경기 화성시을,3선,"제19대, 제20대, 제21대",남,02-784-6471,의원회관 841호,ewon33@gmail.com,http://blog.naver.com/ewon33,"서선미, 최면호","김소탈, 유지홍","김영환, 남민우, 전성균, 이시은, 김혜림"
하태경,河泰慶,HA TAEKEUNG,양,1968-03-29,국민의힘,부산 해운대구갑,3선,"제19대, 제20대, 제21대",남,02-784-2491,의원회관 916호,radiohaha@naver.com,http://www.radiohaha.net,"강은규, 김태영","김성중, 윤상호","이철훈, 조혜정, 정혜영, 김수예, 김정수"
우상호,禹相虎,WOO SANGHO,음,1962-12-12,더불어민주당,서울 서대문구갑,4선,"제17대, 제19대, 제20대, 제21대",남,02-784-3071,의원회관 404호,wsh2016v@gmail.com,http://www.woosangho.com,"서용주, 이후민","송은경, 신채호","신재경, 김준모, 나서라, 안승운, 박진용"
윤후덕,尹厚德,YOON HUDUK,음,1957-01-09,더불어민주당,경기 파주시갑,3선,"제19대, 제20대, 제21대",남,02-6788-6901,의원회관 943호,yoons609@hanmail.net,http://pajulove.kr,"김영동, 윤규식","김동렬, 이승주","김미연, 김우섭, 김국희, 강지영"
박범계,朴範界,PARK BEOMKYE,음,1963-04-27,더불어민주당,대전 서구을,3선,"제19대, 제20대, 제21대",남,02-784-6960,의원회관 837호,,,"문병남, 윤종우","강래원, 이태희","정영모, 강대우, 이윤진"
황희,黃熙,HWANG HEE,음,1967-07-28,더불어민주당,서울 양천구갑,재선,"제20대, 제21대",남,02-784-8551,의원회관 838호,hwanghee6728@gmail.com,http://blog.naver.com/hwanghee67,"김진하, 이용협","나종호, 이정수","이종서, 장유리, 강조원, 김송이, 김재호"
안호영,安浩永,AN HOYOUNG,음,1965-10-11,더불어민주당,전북 완주군진안군무주군장수군,재선,"제20대, 제21대",남,02-784-9751,의원회관 1024호,ahnho065@gmail.com,http://blog.naver.com/lawanhoyoung,"김장권, 이보라","김용만, 오상윤","심부건, 강태우, 유하연, 노진실"
김성원,金成願,KIM SUNGWON,음,1973-10-15,국민의힘,경기 동두천시연천군,재선,"제20대, 제21대",남,02-784-6566,의원회관 910호,kimsw910@naver.com,http://blog.naver.com/v0413ksw,"양우식, 오남택","김준표, 박형덕","한승룡, 권영기, 김은미, 현지연, 최대호, 이미선"
이태규,李泰珪,LEE TAEKYU,음,1964-03-22,국민의당,비례대표,재선,"제20대, 제21대",남,02-784-8101,의원회관 918호,leetk918@gmail.com,http://ltk2016635.blog.me,"김진호, 배동수",박종국,"이완호, 성유진, 김현희, 이재훈, 권다희"
박주민,朴柱民,PARK JUMIN,음,1973-11-21,더불어민주당,서울 은평구갑,재선,"제20대, 제21대",남,02-784-8690,의원회관 608호,joomincenter@gmail.com,http://www.joomincenter.com,"김인아, 안진모","남혜진, 황종섭","서지원, 김영진, 최정윤, 최경은, 원은설"
강민정,姜旼姃,KANG MINJUNG,음,1961-04-26,열린민주당,비례대표,초선,제21대,여,02-784-2477,의원회관 421호,kmj2020edu@gmail.com,https://blog.naver.com/kmgedu21,"손성조, 윤호숙","김민혜, 김원석","김수안, 김성용, 민지홍, 황연미, 이태경"
박성민,朴聖敏,PARK SEONGMIN,음,1959-04-19,국민의힘,울산 중구,초선,제21대,남,02-784-1258,의원회관 1008호,psmassembly1008@gmail.com,http://blog.naver.com/usmpark ,"김종윤, 홍성범","윤정준, 임지연","안현진, 정강수, 박창주, 지은영"
김민철,金敏徹,KIM MINCHUL,양,1967-11-18,더불어민주당,경기 의정부시을,초선,제21대,남,02-784-5031,의원회관 519호,mckim6812@naver.com,https://blog.naver.com/kmc8952,"유상선, 이준","임주헌, 진동규","강재승, 신준섭, 박선영, 박종민, 김성은"
하영제,河榮帝,HA YOUNGJE,음,1954-02-25,국민의힘,경남 사천시남해군하동군,초선,제21대,남,02-784-4750,의원회관 635호,hayoungje635@naver.com,http://blog.naver.com/hayoungje635,"구재모, 김봉윤","김기남, 조용원","윤혜원, 이정남, 박주원, 이윤정, 황세진"
성일종,成一鍾,SUNG ILJONG,음,1963-03-19,국민의힘,충남 서산시태안군,재선,"제20대, 제21대",남,02-784-6290,의원회관 423호,sij5140@naver.com,https://blog.naver.com/sij5140,"김태륜, 유봉동","김길수, 박정호","김용운, 여미애, 정재도, 권용범, 하지웅"
전혜숙,全惠淑,JUN HYESOOK,음,1955-05-05,더불어민주당,서울 광진구갑,3선,"제18대, 제20대, 제21대",여,02-784-8340,의원회관 906호,jhsook7612@gmail.com,https://blog.naver.com/jhsook7612,"서정환, 신현수","최권, 한경달","박세환, 신종환, 박지은, 이연숙, 정현학"
류성걸,柳性杰,YOO SUNGKULL,음,1957-07-12,국민의힘,대구 동구갑,재선,"제19대, 제21대",남,02-784-7141,의원회관 605호,7847142@naver.com,https://blog.naver.com/sungkull,"손정갑, 황영헌","배시열, 조희창","김선기, 김정열, 이환희, 박원지"
어기구,魚基龜,EOH KIYKU,양,1963-01-10,더불어민주당,충남 당진시,재선,"제20대, 제21대",남,02-784-4360 / 041-356-2020,의원회관 632호,,https://blog.naver.com/kiyku,"구본현, 조영학","김진영, 박영화","채성우, 고은아, 박하은, 장한빛, 최명수, 권다안"
송기헌,宋基憲,SONG KIHUN,양,1963-10-02,더불어민주당,강원 원주시을,재선,"제20대, 제21대",남,02-784-6150,의원회관 535호,peacesong1@naver.com,http://www.peacesong1.blog.me,"김영호, 신수철","이진희, 홍현표","권기완, 장지은, 전찬성, 장유진, 이교희, 황예림"
김병욱,金炳旭,KIM BYUNGWOOK,양,1965-04-15,더불어민주당,경기 성남시분당구을,재선,"제20대, 제21대",남,02-784-3670,의원회관 510호,777byung@naver.com,http://blog.naver.com/777byung,"왕홍곤, 최현","김형훈, 신하영","이재윤, 김인태, 최민희, 임세훈, 최정환"
김한정,金漢正,KIM HANJUNG,음,1963-09-06,더불어민주당,경기 남양주시을,재선,"제20대, 제21대",남,02-784-0496,의원회관 631호,hanjkim631@naver.com,http://blog.naver.com/hanjungkim,"도보은, 최문희","김가람, 성정익","이경일, 김동춘, 우수연, 양명선, 김정원"
민병덕,閔炳德,MIN BYOUNGDUG,음,1970-12-20,더불어민주당,경기 안양시동안구갑,초선,제21대,남,02-784-9540,의원회관 927호,anyangmin@gmail.com,https://blog.naver.com/anyangmin,"김대경, 이재호","김병섭, 배장원","김병준, 전영규, 남상빈, 이민재, 한지영"
임이자,林利子,LIM LEEJA,음,1964-03-05,국민의힘,경북 상주시문경시 ,재선,"제20대, 제21대",여,02-784-6970,의원회관 747호,llj11@hanmail.net,http://blog.naver.com/llj11,"강병구, 김선홍","정성한, 허성은","조윤형, 김용수, 최윤호, 한별아, 김재령, 권준혁"
신동근,申東根,SHIN DONGKUN,양,1961-12-22,더불어민주당,인천 서구을,재선,"제20대, 제21대",남,"02-784-6142~4, (F)02-6788-6675",의원회관 732호,sdkwin16@gmail.com,https://blog.naver.com/skdc2875,"이상규, 홍웅표","안중근, 이현주","이영철, 김성한, 김정은, 류정민, 김승은"
이재정,李在汀,LEE JAEJUNG,음,1974-08-02,더불어민주당,경기 안양시동안구을,재선,"제20대, 제21대",여,02-784-2677,의원회관 543호,leejjlaw@gmail.com,https://blog.naver.com/leejjlaw,"김서경, 장연희","송지홍, 이재연","김수철, 고나형, 이택민, 임세훈, 임채민"
김교흥,金敎興,KIM KYOHEUNG,음,1960-08-30,더불어민주당,인천 서구갑,재선,"제17대, 제21대",남,02-784-1261 / 032-565-0806,의원회관 720호,kimkh4u@naver.com,,김병곤,"김정현, 유해용","송이, 김성주, 김동현, 박정은, 배아름"
양경숙,梁敬淑,YANG KYUNGSOOK,양,1962-09-06,더불어민주당,비례대표,초선,제21대,여,02-784-4091,의원회관 414호,kyungsook_0906@naver.com,http://blog.naver.com/jongroyang,"김상일, 이윤정","김길전, 이도희","김혜리, 박혜일, 모성현, 방준영, 이규현"
김남국,金南局,KIM NAMKUK,음,1982-10-22,더불어민주당,경기 안산시단원구을,초선,제21대,남,02-784-2455,의원회관 1011호,lawmaker0415@daum.net,,"양삼동, 장세창",,"최재영, 박승우, 윤경민, 조연우, 고민성"
추경호,秋慶鎬,CHOO KYUNGHO,음,1960-07-29,국민의힘,대구 달성군,재선,"제20대, 제21대",남,02-784-8946,의원회관 328호,khchoo@assembly.go.kr,http://blog.naver.com/khchoo1224,"한동엽, 한승수","김동규, 유성현","신연희, 안희준, 우춘화, 정일상, 김문수"
조응천,趙應天,CHO EUNGCHEON,음,1962-09-17,더불어민주당,경기 남양주시갑,재선,"제20대, 제21대",남,02-784-2717,의원회관 847호,chopros312@gmail.com,http://blog.naver.com/chopros,"조현욱, 최관욱","김은의, 민들레","정승민, 김원철, 박진수, 정서전, 정소연"
백혜련,白惠蓮,BACK HYERYUN,음,1967-02-17,더불어민주당,경기 수원시을,재선,"제20대, 제21대",여,02-784-6130,의원회관 833호,bhrassembly0217@gmail.com,100hyeryun.blog.me,"권훈, 전용두","장한별, 조용준","차광일, 전혜린, 주의현, 원서연"
김경만,金京萬,KIM KYUNGMAN,음,1962-09-23,더불어민주당,비례대표,초선,제21대,남,02-784-9820,의원회관 611호,2020kkman@gmail.com,http://blog.naver.com/2020kkman,"백종운, 오기철","이은지, 홍태식","방준화, 김채영, 이병률, 이세형, 이지연"
조승래,趙承來,JO SEOUNGLAE,양,1968-02-21,더불어민주당,대전 유성구갑,재선,"제20대, 제21대",남,02-784-2640,의원회관 940호,yuseong0413@daum.net,http://blog.naver.com/yuseong0413,"권태돈, 왕우현","장세형, 정아름, 차진영","송준영, 이정은, 우상훈, 김현중, 황창민"
정정순,鄭正淳,JEONG JEONGSOON,음,1958-01-19,더불어민주당,충북 청주시상당구,초선,제21대,남,02-784-3457,의원회관 538호,jeong5838@assembly.go.kr,http://blog.naver.com/5838jeong,"박용석, 박종천","강종성, 유재한","이상권, 천경주, 장정인, 이관호, 이선민"
민형배,閔馨培,MIN HYUNGBAE,음,1961-06-15,더불어민주당,광주 광산구을,초선,제21대,남,02-6788-6426,의원회관 534호,mhb1961@naver.com,https://blog.naver.com/gjminsim,"김지성, 이정기","박수미, 정내라","윤영일, 정호윤, 양경민, 이창우, 김단야"
강준현,康準鉉,KANG JUNHYEON,음,1964-08-19,더불어민주당,세종특별자치시을,초선,제21대,남,02-784-6950,의원회관 315호,jhkang315@gmail.com,https://blog.naver.com/withusone2020,"권민희, 최태영","박동명, 이세영","임예택, 김효숙, 홍유정, 안정균, 이수진"
윤한홍,尹漢洪,YOON HANHONG,음,1962-11-01,국민의힘,경남 창원시마산회원구,재선,"제20대, 제21대",남,02-784-2371,의원회관 823호,,http://blog.naver.com/uhh609,"남기석, 박태훈","박충원, 안규찬","이학종, 이원행, 김대원, 강선정, 정희성"
김석기,金碩基,KIM SEOKKI,음,1954-08-06,국민의힘,경북 경주시,재선,"제20대, 제21대",남,02-784-4170,의원회관 1010호,7882576kj@hanmail.net,http://blog.naver.com/podoriksk,"권형석, 이재정","김덕표, 부유민","최영목, 박치웅, 박선정, 조익성, 한규식"
이상직,李相稷,LEE SANGJIK,양,1963-01-30,무소속,전북 전주시을,재선,"제19대, 제21대",남,02-784-1781,의원회관 507호,sangjik21c@naver.com,,윤삼정,"박성웅, 백창민, 송미경","강경미, 정제일, 박선우, 서영화, 최다영"
송석준,宋錫俊,SONG SEOGJUN,음,1964-03-10,국민의힘,경기 이천시,재선,"제20대, 제21대",남,02-784-3161,의원회관 734호,ymh0792@naver.com,http://blog.naver.com/seogjuns,"류명현, 박범영","김종현, 한승주","김정규, 김지혜, 장억수, 김인환, 이주원"
강기윤,姜起潤,KANG GIYUN,음,1960-06-04,국민의힘,경남 창원시성산구,재선,"제19대, 제21대",남,02-784-1751,의원회관 937호,ggotop@naver.com,http://blog.naver.com/ggotop,"김홍광, 한영애","박응서, 최광림","김영록, 안효상, 이유진, 홍지형, 김지훈"
송옥주,宋玉珠,SONG OKJOO,양,1965-12-20,더불어민주당,경기 화성시갑,재선,"제20대, 제21대",여,02-784-9470,의원회관 319호,songok4740@naver.com,http://blog.naver.com/songok4740,"김선홍, 최동규","김원용, 이원희","김진호, 형찬우, 임선영, 윤형주, 장진아"
유동수,柳東秀,YOO DONGSOO,양,1961-09-18,더불어민주당,인천 계양구갑,재선,"제20대, 제21대",남,02-784-3543,의원회관 810호,newds61@naver.com,http://blog.naver.com/newds61,"김기석, 최창열","박종현, 손민호","최해룡, 김휘종, 나규미, 최수정, 이승민"
최혜영,崔惠英,,음,1979-06-01,더불어민주당,비례대표,초선,제21대,여,02-784-7190~2,의원회관 647호,choihy647@gmail.com,https://blog.naver.com/chy-647,"박상현, 이주영","김지연, 박소리","안지현, 신동희, 변성욱, 김지은, 노태형"
강병원,姜炳遠,KANG BYUNGWON,음,1971-07-09,더불어민주당,서울 은평구을,재선,"제20대, 제21대",남,02-784-1422,의원회관 932호,kangbw89@gmail.com,http://kangbw.co.kr,"박민우, 이여진, 장용득","김형모, 허호인","정선호, 박화준, 정수현, 박재형, 장연순"
